rowcode	jul24	aug24	sep24
22006020	4.8	4.8	4.8				
22007025	28	28	28				
22007044	37	37	37				
22009020	3.8	3.8	3.8				
22010039	36	36	36				
22012060	23	23	23				
22012061	32	32	32				
22014026	30	30	30				
22015039	14	14	14				
22016032	28	28	28				
22017030	25	25	25				
22017031	8	8	8				
22018018	52	52	52				
22019023	2.5	2.5	2.5				
22021022	65	65	65				
22022038	63	63	63				
22023021	45	45	45				
22025022	31	31	31				
22026029	6	6	6				
22028029	38	38	38				
22031021	84	84	84				
22032023	50	50	62.7				
22034030	28	28	28				
22038004	95	95	95				
22040015	130	130	130				
22042033	10	10	10				
22043021	145	145	190				
22045037	120	120	120				
22046018	31.8	31.8	31.8				
22046019	50	50	50				
22047022	39	39	39				
22049031	17	17	17				
22049032	16.5	16.5	16.5				
22052035	14	14	14				
22052036	13	13	12.5				
22053032	175	175	175				
22054022	30	30	30				
22056036	55	55	55				
22056037	45	45	45				
22058039	14	14	14				
22060022	72	72	72				
22061073	32	32	32				
22061075	9	9	9				
22065022	1.9	1.9	2				
22068037	65	65	65				
22069030	65	65	65				
22069038	60	60	60				
22071032	62	62	62				
22071033	65	65	65				
22075014	45	45	45				
22076012	250	260	260				
22077010	35	35	35				
22079019	120	120	120				
22080013	12	12	12				
22082022	40	70	60				
22083022	4.5	4.5	5				
22085030	6	7	7				
22085031	6	6	6				
22087016	180	180	180				
22088012	20	20	20				
22090002	15	15	15				
22093016	160	250	250				
22095019	80	80	80				
22096021	550	550	580				
22097022	85	50	50				
22098019	70	50	70				
22099022	45	45	45				
22100014	28	20	28				
22101022	80	90	80				
22104022	90	90	90				
22106022	25	50	40				
22107022	50	85	65				
22108022	20	18	25				
22110022	17	15	17				
22110023	23	15	25				
22111018	25	25	25				
22113039	22	22	22				
22113040	28	28	28				
22115028	18	18	18				
22116029	18.5	18.5	18.5
