item_details,outletcode,shop_name
Cream crackers | Type: lexis chocolate drizzle | Number of units: 200 | Unit of Measure: Gram | Material: White plastic pack & Red lable | Brand:Munchy's | Made in Singapore | Last Price: Nov_2024 Price: 18,0151,Choice mart
Marie Biscuits | Type: Marie Biscuit | Number of units: 400 | Unit of Measure: Gram | Material: Plastic packet | Brand: CBL Munchee | Made in Malaysia | Last Price: Feb_2025 Price: 29,0151,Choice mart
"Hard buns, Faaroshi, hikki banas | Type: Faaroshi | Number of units: small | Material: Plastic transparent pack | Brand: Alcyon | Made in Maldives | Last Price: Feb_2025 Price: 15",0151,Choice mart
Packet Cakes | Type: Layer cake | Number of units: 18 | Unit of Measure: Gram | Material: Yellow plastic pack | Brand: Apollo | Made in Malaysia | Last Price: Feb_2025 Price: 3,0151,Choice mart
Corn flakes | Type: Cornflakes | Number of units: 250 | Unit of Measure: Gram | Material: Paper Box | Other Specification: Original & the best | Brand: Kelloggs | Made in India | Last Price: Jan_2024 Price: 45,0151,Choice mart
Chocos | Type: Chocos Duet | Number of units: 375 | Unit of Measure: g | Material: Pouch | Brand: Kellogg's | Made in India | Last Price: Jan_2024 Price: 65,0151,Choice mart
Oats | Type: oats | Size of units: 400 | Unit of Measure: g | Material: | Brand: Kelloggs | Made in | Last Price: Jan_2024 Price: 40,0151,Choice mart
Pasta | Type: small shell Pasta | Number of units: 500 | Unit of Measure: Gram | Material: Plastic transparent packet | Brand: San remo | Made in Australia | Last Price: Jan_2024 Price: 34,0151,Choice mart
Noodles | Type: Instant Noodles | Number of units: 80 | Unit of Measure: Gram | Material: Plastic packet | Brand: Mamee | Made in Malaysia | Last Price: Feb_2025 Price: 6.5,0151,Choice mart
Cake mix | Type: Dark chocolate | Size of units: 485 | Unit of Measure: g | Material: | Brand: Betty Crocker | Made in | Last Price: Jan_2024 Price: 55,0151,Choice mart
Frozen Beef | Type: Fresh Frozen Halal meat | Number of units: 900 | Unit of Measure: g | Material: yellow label packet | Brand: Allana | Made in india | Last Price: Feb_2025 Price: 100,0151,Choice mart
Frozen Chicken | Type: Frozen chicken | Number of units: 1 | Unit of Measure: KG | Material: Plastic pack | Brand: Seara | Made in Brazil | Last Price: Feb_2025 Price: 65,0151,Choice mart
Sausage | Type: Sausage | Number of units: | Unit of Measure: | Material: Plastic pack | Brand: Frangosul | Made in Brazil | Last Price: Feb_2025 Price: 25,0151,Choice mart
Dried fish (Hikimas) | Type: Koshimas- Dhivehi Kandumas | Number of units: 25 | Unit of Measure: Gram | Material: Plastic packet | Brand: Masmirus | Made in Maldives | Last Price: Feb_2025 Price: 10,0151,Choice mart
Normal Rice | Type: Normal rice | Size of units:1 | Unit of Measure: kg | Material: loos | Brand: | Made in | Last Price: Jan_2025 Price: 4.8,0171,Daily Baazaaru
